Character,NFD Code Points,NFC Code Points
"ę̄","U+0065 U+0328 U+0304","U+0119 U+0304"
"ę̄́","U+0065 U+0328 U+0304 U+0301","U+0119 U+0304 U+0301"
"ę̂","U+0065 U+0328 U+0302","U+0119 U+0302"
"ę̌","U+0065 U+0328 U+030C","U+0119 U+030C"
"f","U+0066","U+0066"
"í","U+0069 U+0301","U+00ED"
"į","U+0069 U+0328","U+012F"
"į́","U+0069 U+0328 U+0301","U+012F U+0301"
"ī","U+0069 U+0304","U+012B"
"ī́","U+0069 U+0304 U+0301","U+012B U+0301"
"î","U+0069 U+0302","U+00EE"
"ǐ","U+0069 U+030C","U+01D0"
"į̄","U+0069 U+0328 U+0304","U+012F U+0304"
"į̄́","U+0069 U+0328 U+0304 U+0301","U+012F U+0304 U+0301"
"į̂","U+0069 U+0328 U+0302","U+012F U+0302"
"į̌","U+0069 U+0328 U+030C","U+012F U+030C"
"kʼ","U+006B U+02BC","U+006B U+02BC"
"ł","U+0142","U+0142"
"ó","U+006F U+0301","U+00F3"
"ǫ","U+006F U+0328","U+01EB"
"ǫ́","U+006F U+0328 U+0301","U+01EB U+0301"
"ṓ","U+006F U+0304 U+0301","U+1E53"
"ô","U+006F U+0302","U+00F4"
"ǒ","U+006F U+030C","U+01D2"
"ǭ","U+006F U+0328 U+0304","U+01ED"
"ǭ́","U+006F U+0328 U+0304 U+0301","U+01ED U+0301"
"ǫ̂","U+006F U+0328 U+0302","U+01EB U+0302"
"ǫ̌","U+006F U+0328 U+030C","U+01EB U+030C"
"r","U+0072","U+0072"
"tʼ","U+0074 U+02BC","U+0074 U+02BC"
"tlʼ","U+0074 U+006C U+02BC","U+0074 U+006C U+02BC"
"tsʼ","U+0074 U+0073 U+02BC","U+0074 U+0073 U+02BC"
"ú","U+0075 U+0301","U+00FA"
"ų","U+0075 U+0328","U+0173"
"ų́","U+0075 U+0328 U+0301","U+0173 U+0301"
"ū","U+0075 U+0304","U+016B"
"ū́","U+0075 U+0304 U+0301","U+016B U+0301"
"û","U+0075 U+0302","U+00FB"
"ǔ","U+0075 U+030C","U+01D4"
"ų̄","U+0075 U+0328 U+0304","U+0173 U+0304"
"ų̄́","U+0075 U+0328 U+0304 U+0301","U+0173 U+0304 U+0301"
"ų̂","U+0075 U+0328 U+0302","U+0173 U+0302"
"ų̌","U+0075 U+0328 U+030C","U+0173 U+030C"
"ÿ","U+0079 U+0308","U+00FF"
"ʼ","U+02BC","U+02BC"
"aa","U+0061 U+0061","U+0061 U+0061"
"b̓","U+0062 U+0313","U+0062 U+0313"
"c̓","U+0063 U+0313","U+0063 U+0313"
"č","U+0063 U+030C","U+010D"
"č̓","U+0063 U+030C U+0313","U+010D U+0313"
"d̓","U+0064 U+0313","U+0064 U+0313"
"ee","U+0065 U+0065","U+0065 U+0065"
"ii","U+0069 U+0069","U+0069 U+0069"
"kʷ","U+006B U+02B7","U+006B U+02B7"
"k̓","U+006B U+0313","U+006B U+0313"
"k̓ʷ","U+006B U+0313 U+02B7","U+006B U+0313 U+02B7"
"l̓","U+006C U+0313","U+006C U+0313"
"ƛ","U+019B","U+019B"
"ƛ̓","U+019B U+0313","U+019B U+0313"
"m̓","U+006D U+0313","U+006D U+0313"
"n̓","U+006E U+0313","U+006E U+0313"
"p̓","U+0070 U+0313","U+0070 U+0313"
"q","U+0071","U+0071"
"qʷ","U+0071 U+02B7","U+0071 U+02B7"
"q̓","U+0071 U+0313","U+0071 U+0313"
"q̓ʷ","U+0071 U+0313 U+02B7","U+0071 U+0313 U+02B7"
"š","U+0073 U+030C","U+0161"
"t̓","U+0074 U+0313","U+0074 U+0313"
"uu","U+0075 U+0075","U+0075 U+0075"
"w̓","U+0077 U+0313","U+0077 U+0313"
"x","U+0078","U+0078"
"xʷ","U+0078 U+02B7","U+0078 U+02B7"
"x̣","U+0078 U+0323","U+0078 U+0323"
"x̣ʷ","U+0078 U+0323 U+02B7","U+0078 U+0323 U+02B7"
"y̓","U+0079 U+0313","U+0079 U+0313"
"ʔ","U+0294","U+0294"
"ʕ","U+0295","U+0295"
"ḥ","U+0068 U+0323","U+1E25"
"g̱","U+0067 U+0331","U+0067 U+0331"
"hl","U+0068 U+006C","U+0068 U+006C"
"k'","U+006B U+0027","U+006B U+0027"
"kw'","U+006B U+0077 U+0027","U+006B U+0077 U+0027"
"ḵ","U+006B U+0331","U+1E35"
"ḵ'","U+006B U+0331 U+0027","U+1E35 U+0027"
"'l","U+0027 U+006C","U+0027 U+006C"
"'m","U+0027 U+006D","U+0027 U+006D"
"'n","U+0027 U+006E","U+0027 U+006E"
"p'","U+0070 U+0027","U+0070 U+0027"
"t'","U+0074 U+0027","U+0074 U+0027"
"tl'","U+0074 U+006C U+0027","U+0074 U+006C U+0027"
"ts'","U+0074 U+0073 U+0027","U+0074 U+0073 U+0027"
"'w","U+0027 U+0077","U+0027 U+0077"
"xw","U+0078 U+0077","U+0078 U+0077"
"x̱","U+0078 U+0331","U+0078 U+0331"
"'y","U+0027 U+0079","U+0027 U+0079"
"'","U+0027","U+0027"
"-","U+002D","U+002D"
"λ","U+03BB","U+03BB"
"ɫ","U+026B","U+026B"
"gv","U+0067 U+0076","U+0067 U+0076"
"kv","U+006B U+0076","U+006B U+0076"
"k̓v","U+006B U+0313 U+0076","U+006B U+0313 U+0076"
"xv","U+0078 U+0076","U+0078 U+0076"
"ǧv","U+0067 U+030C U+0076","U+01E7 U+0076"
"qv","U+0071 U+0076","U+0071 U+0076"
"q̓v","U+0071 U+0313 U+0076","U+0071 U+0313 U+0076"
"x̌v","U+0078 U+030C U+0076","U+0078 U+030C U+0076"
"ǧ","U+0067 U+030C","U+01E7"
"x̌","U+0078 U+030C","U+0078 U+030C"
"ṃ́","U+006D U+0323 U+0301","U+1E43 U+0301"
"ṃ","U+006D U+0323","U+1E43"
"ṃ̓","U+006D U+0323 U+0313","U+1E43 U+0313"
"ṇ́","U+006E U+0323 U+0301","U+1E47 U+0301"
"ṇ","U+006E U+0323","U+1E47"
"ṇ̓","U+006E U+0323 U+0313","U+1E47 U+0313"
"ḷ́","U+006C U+0323 U+0301","U+1E37 U+0301"
"ḷ","U+006C U+0323","U+1E37"
"ḷ̓","U+006C U+0323 U+0313","U+1E37 U+0313"
"i̓","U+0069 U+0313","U+0069 U+0313"
"u̓","U+0075 U+0313","U+0075 U+0313"
"h̓","U+0068 U+0313","U+0068 U+0313"
"a̓","U+0061 U+0313","U+0061 U+0313"
"ħ","U+0127","U+0127"
"ḡ","U+0067 U+0304","U+1E21"
"ḡ°","U+0067 U+0304 U+00B0","U+1E21 U+00B0"
"g°","U+0067 U+00B0","U+0067 U+00B0"
"k̓°","U+006B U+0313 U+00B0","U+006B U+0313 U+00B0"
"k°","U+006B U+00B0","U+006B U+00B0"
"q̓°","U+0071 U+0313 U+00B0","U+0071 U+0313 U+00B0"
"q°","U+0071 U+00B0","U+0071 U+00B0"
"x̄","U+0078 U+0304","U+0078 U+0304"
"x̄°","U+0078 U+0304 U+00B0","U+0078 U+0304 U+00B0"
"x°","U+0078 U+00B0","U+0078 U+00B0"
"ˈ","U+02C8","U+02C8"
"’","U+2019","U+2019"
"°","U+00B0","U+00B0"
":","U+003A","U+003A"
"ch'","U+0063 U+0068 U+0027","U+0063 U+0068 U+0027"
"q'","U+0071 U+0027","U+0071 U+0027"
"qw","U+0071 U+0077","U+0071 U+0077"
"qw'","U+0071 U+0077 U+0027","U+0071 U+0077 U+0027"
"th","U+0074 U+0068","U+0074 U+0068"
"th'","U+0074 U+0068 U+0027","U+0074 U+0068 U+0027"
"x̱w","U+0078 U+0331 U+0077","U+0078 U+0331 U+0077"
"ʕa","U+0295 U+0061","U+0295 U+0061"
"ʕi","U+0295 U+0069","U+0295 U+0069"
"ʕu","U+0295 U+0075","U+0295 U+0075"
"aaw","U+0061 U+0061 U+0077","U+0061 U+0061 U+0077"
"aay","U+0061 U+0061 U+0079","U+0061 U+0061 U+0079"
"ah","U+0061 U+0068","U+0061 U+0068"
"an","U+0061 U+006E","U+0061 U+006E"
"ang","U+0061 U+006E U+0067","U+0061 U+006E U+0067"
"aw","U+0061 U+0077","U+0061 U+0077"
"ay","U+0061 U+0079","U+0061 U+0079"
"hll","U+0068 U+006C U+006C","U+0068 U+006C U+006C"
"ll","U+006C U+006C","U+006C U+006C"
"ng.","U+006E U+0067 U+002E","U+006E U+0067 U+002E"
"tll","U+0074 U+006C U+006C","U+0074 U+006C U+006C"
"ɛ","U+025B","U+025B"
"ə","U+0259","U+0259"
"əw","U+0259 U+0077","U+0259 U+0077"
"əy","U+0259 U+0079","U+0259 U+0079"
"ɩ","U+0269","U+0269"
"ǰ","U+006A U+030C","U+01F0"
"ɬ","U+026C","U+026C"
"θ","U+03B8","U+03B8"
"tᶿ","U+0074 U+1DBF","U+0074 U+1DBF"
"t̓ᶿ","U+0074 U+0313 U+1DBF","U+0074 U+0313 U+1DBF"
"ʊ","U+028A","U+028A"
"χ","U+03C7","U+03C7"
"χʷ","U+03C7 U+02B7","U+03C7 U+02B7"
"hw","U+0068 U+0077","U+0068 U+0077"
"ou","U+006F U+0075","U+006F U+0075"
"tth","U+0074 U+0074 U+0068","U+0074 U+0074 U+0068"
"tth'","U+0074 U+0074 U+0068 U+0027","U+0074 U+0074 U+0068 U+0027"
"p’","U+0070 U+2019","U+0070 U+2019"
"q’","U+0071 U+2019","U+0071 U+2019"
"qw’","U+0071 U+0077 U+2019","U+0071 U+0077 U+2019"
"tth’","U+0074 U+0074 U+0068 U+2019","U+0074 U+0074 U+0068 U+2019"
"ɂ","U+0242","U+0242"
"ǝ","U+01DD","U+01DD"
"ǝ́","U+01DD U+0301","U+01DD U+0301"
"ı","U+0131","U+0131"
"ı́","U+0131 U+0301","U+0131 U+0301"
"ı̨","U+0131 U+0328","U+0131 U+0328"
"ı̨́","U+0131 U+0328 U+0301","U+0131 U+0328 U+0301"
"tł'","U+0074 U+0142 U+0027","U+0074 U+0142 U+0027"
"w'","U+0077 U+0027","U+0077 U+0027"
"zh","U+007A U+0068","U+007A U+0068"
"c̣","U+0063 U+0323","U+0063 U+0323"
"ə́","U+0259 U+0301","U+0259 U+0301"
"ə̣","U+0259 U+0323","U+0259 U+0323"
"ɣ","U+0263","U+0263"
"ɣ̓","U+0263 U+0313","U+0263 U+0313"
"ị","U+0069 U+0323","U+1ECB"
"ṣ","U+0073 U+0323","U+1E63"
"Ɵ","U+019F","U+019F"
"z̓","U+007A U+0313","U+007A U+0313"
"ʕ̓","U+0295 U+0313","U+0295 U+0313"
"ʕʷ","U+0295 U+02B7","U+0295 U+02B7"
"ʕ̓ʷ","U+0295 U+0313 U+02B7","U+0295 U+0313 U+02B7"
"æ","U+00E6","U+00E6"
"ɔ","U+0254","U+0254"
"gʸ","U+0067 U+02B8","U+0067 U+02B8"
"kʸ","U+006B U+02B8","U+006B U+02B8"
"k̓ʸ","U+006B U+0313 U+02B8","U+006B U+0313 U+02B8"
"ɔy","U+0254 U+0079","U+0254 U+0079"
"a·","U+0061 U+00B7","U+0061 U+00B7"
"¢","U+00A2","U+00A2"
"¢̕","U+00A2 U+0315","U+00A2 U+0315"
"i·","U+0069 U+00B7","U+0069 U+00B7"
"ǂ","U+01C2","U+01C2"
"t̕","U+0074 U+0315","U+0074 U+0315"
"u·","U+0075 U+00B7","U+0075 U+00B7"
"·","U+00B7","U+00B7"
"à","U+0061 U+0300","U+00E0"
"ą̀","U+0061 U+0328 U+0300","U+0105 U+0300"
"è","U+0065 U+0300","U+00E8"
"ę̀","U+0065 U+0328 U+0300","U+0119 U+0300"
"ì","U+0069 U+0300","U+00EC"
"į̀","U+0069 U+0328 U+0300","U+012F U+0300"
"įį","U+0069 U+0328 U+0069 U+0328","U+012F U+012F"
"ìì","U+0069 U+0300 U+0069 U+0300","U+00EC U+00EC"
"į̀į̀","U+0069 U+0328 U+0300 U+0069 U+0328 U+0300","U+012F U+0300 U+012F U+0300"
"ò","U+006F U+0300","U+00F2"
"ǫ̀","U+006F U+0328 U+0300","U+01EB U+0300"
"ǫǫ","U+006F U+0328 U+006F U+0328","U+01EB U+01EB"
"òò","U+006F U+0300 U+006F U+0300","U+00F2 U+00F2"
"ǫ̀ǫ̀","U+006F U+0328 U+0300 U+006F U+0328 U+0300","U+01EB U+0300 U+01EB U+0300"
"ù","U+0075 U+0300","U+00F9"
"ų̀","U+0075 U+0328 U+0300","U+0173 U+0300"
"yh","U+0079 U+0068","U+0079 U+0068"
"a̱","U+0061 U+0331","U+0061 U+0331"
"dł","U+0064 U+0142","U+0064 U+0142"
"g̱w","U+0067 U+0331 U+0077","U+0067 U+0331 U+0077"
"k̕w","U+006B U+0315 U+0077","U+006B U+0315 U+0077"
"ḵw","U+006B U+0331 U+0077","U+1E35 U+0077"
"ḵ̓","U+006B U+0331 U+0313","U+1E35 U+0313"
"ḵ̕w","U+006B U+0331 U+0315 U+0077","U+1E35 U+0315 U+0077"
"t̕s","U+0074 U+0315 U+0073","U+0074 U+0315 U+0073"
"tł","U+0074 U+0142","U+0074 U+0142"
"t̕ł","U+0074 U+0315 U+0142","U+0074 U+0315 U+0142"
"ey","U+0065 U+0079","U+0065 U+0079"
"əw̓","U+0259 U+0077 U+0313","U+0259 U+0077 U+0313"
"ŋ","U+014B","U+014B"
"ao","U+0061 U+006F","U+0061 U+006F"
"aó","U+0061 U+006F U+0301","U+0061 U+00F3"
"v","U+0076","U+0076"
"v́","U+0076 U+0301","U+0076 U+0301"
"cw","U+0063 U+0077","U+0063 U+0077"
"7","U+0037","U+0037"
"ts̓","U+0074 U+0073 U+0313","U+0074 U+0073 U+0313"
"k̓w","U+006B U+0313 U+0077","U+006B U+0313 U+0077"
"q̓w","U+0071 U+0313 U+0077","U+0071 U+0313 U+0077"
"r̓","U+0072 U+0313","U+0072 U+0313"
"g̓","U+0067 U+0313","U+0067 U+0313"
"g̓w","U+0067 U+0313 U+0077","U+0067 U+0313 U+0077"
"l̲","U+006C U+0332","U+006C U+0332"
"dᶻ","U+0064 U+1DBB","U+0064 U+1DBB"
"gʷ","U+0067 U+02B7","U+0067 U+02B7"
"ǧʷ","U+0067 U+030C U+02B7","U+01E7 U+02B7"
"x̌ʷ","U+0078 U+030C U+02B7","U+0078 U+030C U+02B7"
"ᐊ","U+140A","U+140A"
"ᐁ","U+1401","U+1401"
"ᐃ","U+1403","U+1403"
"ᐅ","U+1405","U+1405"
"ᐧ","U+1427","U+1427"
"ᐤ","U+1424","U+1424"
"ᐸ","U+1438","U+1438"
"ᐯ","U+142F","U+142F"
"ᐱ","U+1431","U+1431"
"ᐳ","U+1433","U+1433"
"ᑊ","U+144A","U+144A"
"ᐦ","U+1426","U+1426"
"ᑕ","U+1455","U+1455"
"ᑌ","U+144C","U+144C"
"ᑎ","U+144E","U+144E"
"ᑐ","U+1450","U+1450"
"ᐟ","U+141F","U+141F"
"ᑲ","U+1472","U+1472"
"ᑫ","U+146B","U+146B"
"ᑭ","U+146D","U+146D"
"ᑯ","U+146F","U+146F"
"ᐠ","U+1420","U+1420"
"ᒐ","U+1490","U+1490"
"ᒉ","U+1489","U+1489"
"ᒋ","U+148B","U+148B"
"ᒍ","U+148D","U+148D"
"ᐨ","U+1428","U+1428"
"ᒪ","U+14AA","U+14AA"
"ᒣ","U+14A3","U+14A3"
"ᒥ","U+14A5","U+14A5"
"ᒧ","U+14A7","U+14A7"
"ᒼ","U+14BC","U+14BC"
"ᓇ","U+14C7","U+14C7"
"ᓀ","U+14C0","U+14C0"
"ᓂ","U+14C2","U+14C2"
"ᓄ","U+14C4","U+14C4"
"ᐣ","U+1423","U+1423"
"ᓴ","U+14F4","U+14F4"
"ᓭ","U+14ED","U+14ED"
"ᓯ","U+14EF","U+14EF"
"ᓱ","U+14F1","U+14F1"
"ᐢ","U+1422","U+1422"
"ᔭ","U+152D","U+152D"
"ᔦ","U+1526","U+1526"
"ᔨ","U+1528","U+1528"
"ᔪ","U+152A","U+152A"
"ᐩ","U+1429","U+1429"
"ng","U+006E U+0067","U+006E U+0067"
"u̲","U+0075 U+0332","U+0075 U+0332"
"z̲","U+007A U+0332","U+007A U+0332"
"'a","U+0027 U+0061","U+0027 U+0061"
"'e","U+0027 U+0065","U+0027 U+0065"
"'i","U+0027 U+0069","U+0027 U+0069"
"'o","U+0027 U+006F","U+0027 U+006F"
"t̲s̲'","U+0074 U+0332 U+0073 U+0332 U+0027","U+0074 U+0332 U+0073 U+0332 U+0027"
"'u","U+0027 U+0075","U+0027 U+0075"
"ẕ","U+007A U+0331","U+1E95"
"c'","U+0063 U+0027","U+0063 U+0027"
".","U+002E","U+002E"
"A","U+0041","U+0041"
"TS","U+0054 U+0053","U+0054 U+0053"
"E","U+0045","U+0045"
"g̲","U+0067 U+0332","U+0067 U+0332"
"EE","U+0045 U+0045","U+0045 U+0045"
"I","U+0049","U+0049"
"K","U+004B","U+004B"
"Kw","U+004B U+0077","U+004B U+0077"
"TL","U+0054 U+004C","U+0054 U+004C"
"k̲","U+006B U+0332","U+006B U+0332"
"K̲","U+004B U+0332","U+004B U+0332"
"K̲w","U+004B U+0332 U+0077","U+004B U+0332 U+0077"
"OO","U+004F U+004F","U+004F U+004F"
"hh","U+0068 U+0068","U+0068 U+0068"
"wuh","U+0077 U+0075 U+0068","U+0077 U+0075 U+0068"
"h̲h̲","U+0068 U+0332 U+0068 U+0332","U+0068 U+0332 U+0068 U+0332"
"w̲u̲h̲","U+0077 U+0332 U+0075 U+0332 U+0068 U+0332","U+0077 U+0332 U+0075 U+0332 U+0068 U+0332"
"íi","U+0069 U+0301 U+0069","U+00ED U+0069"
"áo","U+0061 U+0301 U+006F","U+00E1 U+006F"
"ᐄ","U+1404","U+1404"
"ᐆ","U+1406","U+1406"
"ᐋ","U+140B","U+140B"
"ᐲ","U+1432","U+1432"
"ᐴ","U+1434","U+1434"
"ᐹ","U+1439","U+1439"
"ᑉ","U+1449","U+1449"
"ᑏ","U+144F","U+144F"
"ᑑ","U+1451","U+1451"
"ᑖ","U+1456","U+1456"
"ᑦ","U+1466","U+1466"
"ᑮ","U+146E","U+146E"
"ᑰ","U+1470","U+1470"
"ᑳ","U+1473","U+1473"
"ᒃ","U+1483","U+1483"
"ᒌ","U+148C","U+148C"
"ᒎ","U+148E","U+148E"
"ᒑ","U+1491","U+1491"
"ᒡ","U+14A1","U+14A1"
"ᒦ","U+14A6","U+14A6"
"ᒨ","U+14A8","U+14A8"
"ᒫ","U+14AB","U+14AB"
"ᒻ","U+14BB","U+14BB"
"ᓃ","U+14C3","U+14C3"
"ᓅ","U+14C5","U+14C5"
"ᓈ","U+14C8","U+14C8"
"ᓐ","U+14D0","U+14D0"
"ᓰ","U+14F0","U+14F0"
"ᓲ","U+14F2","U+14F2"
"ᓵ","U+14F5","U+14F5"
"ᔅ","U+1505","U+1505"
"ᔐ","U+1510","U+1510"
"ᔑ","U+1511","U+1511"
"ᔓ","U+1513","U+1513"
"ᔕ","U+1515","U+1515"
"ᔒ","U+1512","U+1512"
"ᔔ","U+1514","U+1514"
"ᔖ","U+1516","U+1516"
"ᔥ","U+1525","U+1525"
"ᔩ","U+1529","U+1529"
"ᔫ","U+152B","U+152B"
"ᔮ","U+152E","U+152E"
"ᔾ","U+153E","U+153E"
"ᐧᐁ","U+1427 U+1401","U+1427 U+1401"
"ᐧᐃ","U+1427 U+1403","U+1427 U+1403"
"ᐧᐅ","U+1427 U+1405","U+1427 U+1405"
"ᐧᐊ","U+1427 U+140A","U+1427 U+140A"
"ᐧᐄ","U+1427 U+1404","U+1427 U+1404"
"ᐧᐆ","U+1427 U+1406","U+1427 U+1406"
"ᐧᐋ","U+1427 U+140B","U+1427 U+140B"
"ᐁᐧ","U+1401 U+1427","U+1401 U+1427"
"ᐃᐧ","U+1403 U+1427","U+1403 U+1427"
"ᐅᐧ","U+1405 U+1427","U+1405 U+1427"
"ᐊᐧ","U+140A U+1427","U+140A U+1427"
"ᐋᐧ","U+140B U+1427","U+140B U+1427"
"ᓬ","U+14EC","U+14EC"
"ᕒ","U+1552","U+1552"
"᙮","U+166E","U+166E"
"t̲s̲’","U+0074 U+0332 U+0073 U+0332 U+2019","U+0074 U+0332 U+0073 U+0332 U+2019"
"Á","U+0041 U+0301","U+00C1"
"Ⱥ","U+023A","U+023A"
"B","U+0042","U+0042"
"C","U+0043","U+0043"
"Ć","U+0043 U+0301","U+0106"
"Ȼ","U+023B","U+023B"
"D","U+0044","U+0044"
"H","U+0048","U+0048"
"Í","U+0049 U+0301","U+00CD"
"J","U+004A","U+004A"
"₭","U+20AD","U+20AD"
"Ḵ","U+004B U+0331","U+1E34"
"Ḱ","U+004B U+0301","U+1E30"
"L","U+004C","U+004C"
"Ƚ","U+023D","U+023D"
"M","U+004D","U+004D"
"N","U+004E","U+004E"
"Ṉ","U+004E U+0331","U+1E48"
"O","U+004F","U+004F"
"P","U+0050","U+0050"
"Q","U+0051","U+0051"
"S","U+0053","U+0053"
"Ś","U+0053 U+0301","U+015A"
"T","U+0054","U+0054"
"Ⱦ","U+023E","U+023E"
"Ṯ","U+0054 U+0331","U+1E6E"
"Ŧ","U+0166","U+0166"
"U","U+0055","U+0055"
"W","U+0057","U+0057"
"W̱","U+0057 U+0331","U+0057 U+0331"
"X","U+0058","U+0058"
"X̱","U+0058 U+0331","U+0058 U+0331"
"Y","U+0059","U+0059"
"Z","U+005A","U+005A"
"gy","U+0067 U+0079","U+0067 U+0079"
"k'w","U+006B U+0027 U+0077","U+006B U+0027 U+0077"
"ky","U+006B U+0079","U+006B U+0079"
"k'y","U+006B U+0027 U+0079","U+006B U+0027 U+0079"
"ü","U+0075 U+0308","U+00FC"
"üü","U+0075 U+0308 U+0075 U+0308","U+00FC U+00FC"
"ẅ","U+0077 U+0308","U+1E85"
"'ẅ","U+0027 U+0077 U+0308","U+0027 U+1E85"
"xy","U+0078 U+0079","U+0078 U+0079"
"ch̕","U+0063 U+0068 U+0315","U+0063 U+0068 U+0315"
"k̕","U+006B U+0315","U+006B U+0315"
"kw̕","U+006B U+0077 U+0315","U+006B U+0077 U+0315"
"ḵ̕","U+006B U+0331 U+0315","U+1E35 U+0315"
"ḵw̕","U+006B U+0331 U+0077 U+0315","U+1E35 U+0077 U+0315"
"p̕","U+0070 U+0315","U+0070 U+0315"
"tl̕","U+0074 U+006C U+0315","U+0074 U+006C U+0315"
"ts̕","U+0074 U+0073 U+0315","U+0074 U+0073 U+0315"
"ˀ","U+02C0","U+02C0"
"a̱a̱","U+0061 U+0331 U+0061 U+0331","U+0061 U+0331 U+0061 U+0331"
"aˈa","U+0061 U+02C8 U+0061","U+0061 U+02C8 U+0061"
"a̱ˈa̱","U+0061 U+0331 U+02C8 U+0061 U+0331","U+0061 U+0331 U+02C8 U+0061 U+0331"
"ʣ","U+02A3","U+02A3"
"eˈe","U+0065 U+02C8 U+0065","U+0065 U+02C8 U+0065"
"ǥ","U+01E5","U+01E5"
"iˈi","U+0069 U+02C8 U+0069","U+0069 U+02C8 U+0069"
"kˈ","U+006B U+02C8","U+006B U+02C8"
"kˈw","U+006B U+02C8 U+0077","U+006B U+02C8 U+0077"
"kˈy","U+006B U+02C8 U+0079","U+006B U+02C8 U+0079"
"ḵˈ","U+006B U+0331 U+02C8","U+1E35 U+02C8"
"ˈl","U+02C8 U+006C","U+02C8 U+006C"
"ˈm","U+02C8 U+006D","U+02C8 U+006D"
"ˈn","U+02C8 U+006E","U+02C8 U+006E"
